Время, Философы, Состояние
2024-11-22 22:45:31, Философ 1, размышляет
2024-11-22 22:45:31, Философ 2, размышляет
2024-11-22 22:45:31, Философ 3, размышляет
2024-11-22 22:45:31, Философ 4, размышляет
2024-11-22 22:45:31, Философ 5, размышляет
2024-11-22 22:45:31, Философ 1, берёт правую вилку
2024-11-22 22:45:31, Философ 1, берёт левую вилку
2024-11-22 22:45:31, Философ 1, ест
2024-11-22 22:45:31, Философ 5, берёт правую вилку
2024-11-22 22:45:32, Философ 2, берёт правую вилку
2024-11-22 22:45:32, Философ 1, кладёт вилки на место
2024-11-22 22:45:32, Философ 1, размышляет
2024-11-22 22:45:32, Философ 2, берёт левую вилку
2024-11-22 22:45:32, Философ 2, ест
2024-11-22 22:45:32, Философ 5, берёт левую вилку
2024-11-22 22:45:32, Философ 5, ест
2024-11-22 22:45:33, Философ 2, кладёт вилки на место
2024-11-22 22:45:33, Философ 2, размышляет
2024-11-22 22:45:33, Философ 3, берёт правую вилку
2024-11-22 22:45:33, Философ 3, берёт левую вилку
2024-11-22 22:45:33, Философ 3, ест
2024-11-22 22:45:33, Философ 5, кладёт вилки на место
2024-11-22 22:45:33, Философ 5, размышляет
2024-11-22 22:45:33, Философ 4, берёт правую вилку
2024-11-22 22:45:33, Философ 3, кладёт вилки на место
2024-11-22 22:45:33, Философ 3, размышляет
2024-11-22 22:45:33, Философ 4, берёт левую вилку
2024-11-22 22:45:33, Философ 4, ест
2024-11-22 22:45:33, Философ 2, берёт правую вилку
2024-11-22 22:45:33, Философ 1, берёт правую вилку
2024-11-22 22:45:33, Философ 2, берёт левую вилку
2024-11-22 22:45:33, Философ 2, ест
2024-11-22 22:45:34, Философ 4, кладёт вилки на место
2024-11-22 22:45:34, Философ 4, размышляет
2024-11-22 22:45:34, Философ 5, берёт правую вилку
2024-11-22 22:45:34, Философ 2, кладёт вилки на место
2024-11-22 22:45:34, Философ 2, размышляет
2024-11-22 22:45:34, Философ 1, берёт левую вилку
2024-11-22 22:45:34, Философ 1, ест
2024-11-22 22:45:34, Философ 3, берёт правую вилку
2024-11-22 22:45:35, Философ 3, берёт левую вилку
2024-11-22 22:45:35, Философ 3, ест
2024-11-22 22:45:35, Философ 1, кладёт вилки на место
2024-11-22 22:45:35, Философ 1, размышляет
2024-11-22 22:45:35, Философ 5, берёт левую вилку
2024-11-22 22:45:35, Философ 5, ест
2024-11-22 22:45:35, Философ 3, кладёт вилки на место
2024-11-22 22:45:35, Философ 3, размышляет
2024-11-22 22:45:36, Философ 2, берёт правую вилку
2024-11-22 22:45:36, Философ 2, берёт левую вилку
2024-11-22 22:45:36, Философ 2, ест
2024-11-22 22:45:36, Философ 5, кладёт вилки на место
2024-11-22 22:45:36, Философ 5, размышляет
2024-11-22 22:45:36, Философ 4, берёт правую вилку
2024-11-22 22:45:36, Философ 4, берёт левую вилку
2024-11-22 22:45:36, Философ 4, ест
2024-11-22 22:45:36, Философ 1, берёт правую вилку
2024-11-22 22:45:36, Философ 2, кладёт вилки на место
2024-11-22 22:45:36, Философ 2, размышляет
2024-11-22 22:45:36, Философ 1, берёт левую вилку
2024-11-22 22:45:36, Философ 1, ест
2024-11-22 22:45:37, Философ 4, кладёт вилки на место
2024-11-22 22:45:37, Философ 4, размышляет
2024-11-22 22:45:37, Философ 5, берёт правую вилку
2024-11-22 22:45:37, Философ 3, берёт правую вилку
2024-11-22 22:45:37, Философ 3, берёт левую вилку
2024-11-22 22:45:37, Философ 3, ест
2024-11-22 22:45:37, Философ 1, кладёт вилки на место
2024-11-22 22:45:37, Философ 1, размышляет
2024-11-22 22:45:37, Философ 5, берёт левую вилку
2024-11-22 22:45:37, Философ 5, ест
2024-11-22 22:45:38, Философ 3, кладёт вилки на место
2024-11-22 22:45:38, Философ 3, размышляет
2024-11-22 22:45:38, Философ 2, берёт правую вилку
2024-11-22 22:45:38, Философ 2, берёт левую вилку
2024-11-22 22:45:38, Философ 2, ест
2024-11-22 22:45:38, Философ 5, кладёт вилки на место
2024-11-22 22:45:38, Философ 5, размышляет
2024-11-22 22:45:38, Философ 4, берёт правую вилку
2024-11-22 22:45:38, Философ 4, берёт левую вилку
2024-11-22 22:45:38, Философ 4, ест
2024-11-22 22:45:38, Философ 1, берёт правую вилку
2024-11-22 22:45:38, Философ 2, кладёт вилки на место
2024-11-22 22:45:38, Философ 2, размышляет
2024-11-22 22:45:38, Философ 1, берёт левую вилку
2024-11-22 22:45:38, Философ 1, ест
2024-11-22 22:45:39, Философ 3, берёт правую вилку
2024-11-22 22:45:39, Философ 4, кладёт вилки на место
2024-11-22 22:45:39, Философ 4, размышляет
2024-11-22 22:45:39, Философ 3, берёт левую вилку
2024-11-22 22:45:39, Философ 3, ест
2024-11-22 22:45:39, Философ 5, берёт правую вилку
2024-11-22 22:45:39, Философ 1, кладёт вилки на место
2024-11-22 22:45:39, Философ 1, размышляет
2024-11-22 22:45:39, Философ 5, берёт левую вилку
2024-11-22 22:45:39, Философ 5, ест
2024-11-22 22:45:40, Философ 3, кладёт вилки на место
2024-11-22 22:45:40, Философ 3, размышляет
2024-11-22 22:45:40, Философ 2, берёт правую вилку
2024-11-22 22:45:40, Философ 2, берёт левую вилку
2024-11-22 22:45:40, Философ 2, ест
2024-11-22 22:45:40, Философ 5, кладёт вилки на место
2024-11-22 22:45:40, Философ 5, размышляет
2024-11-22 22:45:40, Философ 1, берёт правую вилку
2024-11-22 22:45:40, Философ 4, берёт правую вилку
2024-11-22 22:45:40, Философ 4, берёт левую вилку
2024-11-22 22:45:40, Философ 4, ест
2024-11-22 22:45:41, Философ 2, кладёт вилки на место
2024-11-22 22:45:41, Философ 1, берёт левую вилку
2024-11-22 22:45:41, Философ 1, ест
2024-11-22 22:45:41, Философ 3, берёт правую вилку
2024-11-22 22:45:41, Философ 4, кладёт вилки на место
2024-11-22 22:45:41, Философ 3, берёт левую вилку
2024-11-22 22:45:41, Философ 3, ест
2024-11-22 22:45:41, Философ 5, берёт правую вилку
2024-11-22 22:45:41, Философ 1, кладёт вилки на место
2024-11-22 22:45:41, Философ 5, берёт левую вилку
2024-11-22 22:45:41, Философ 5, ест
2024-11-22 22:45:42, Философ 3, кладёт вилки на место
2024-11-22 22:45:42, Философ 5, кладёт вилки на место
